personId,ip,h,r,er,bb,k,hr,p,s,hbp,bat_faced,inh_run,inh_run_scored,gameId,outs
117909,5,10,6,6,2,2,1,37,29,0,27,0,0,131790,15
117290,1,0,0,0,0,1,0,5,5,0,3,0,0,131790,3
114089,1.1,5,4,4,2,0,1,17,9,0,11,0,0,131790,4
122086,7.1,3,1,1,4,3,1,45,29,0,27,1,0,131790,22
120935,6.1,10,6,5,3,3,1,45,33,0,30,0,0,131791,19
117290,1.2,4,3,3,1,0,0,13,9,0,10,2,2,131791,5
123509,8,6,2,2,1,7,1,48,44,0,31,0,0,139986,24
115160,1,1,0,0,1,0,0,8,4,0,5,0,0,139986,3
118140,6,7,3,3,1,4,0,35,30,1,24,0,0,139998,18
113393,1,1,0,0,1,0,0,8,4,0,5,1,1,139998,3
115160,1,0,1,0,3,1,0,17,5,0,6,0,0,139998,3
117350,0.2,0,0,0,0,0,0,3,3,0,3,3,1,139998,2
117290,6,5,2,2,3,2,0,40,28,0,27,0,0,131808,18
114089,1,3,2,1,1,0,0,11,7,0,8,0,0,131808,3
120105,1,1,0,0,1,0,0,7,3,0,4,3,2,131808,3
121683,1,0,1,1,4,0,0,19,3,0,7,0,0,131808,3
111842,1.2,0,2,2,3,1,0,20,8,0,9,0,0,131808,5
121100,1.1,1,0,0,0,0,0,5,5,0,5,3,2,131808,4
114299,9,8,1,1,1,4,1,45,41,0,34,0,0,140006,27
120935,7,11,8,8,2,5,3,49,41,0,33,0,0,131819,21
121683,1,0,0,0,0,0,0,2,2,0,2,1,0,131819,3
122086,6,9,4,3,0,0,3,27,27,0,27,0,0,131820,18
